date,prob_chuva_max,chuva_total_mm,umidade_media,temp_media,vento_medio,nuvens_media,n_slots_chuva,descricao,s_chuva,s_umid,s_temp,s_vento,s_nuvens,score_base,fator_janela,score_final,classificacao,cor
2026-06-02,0,0.0,98.0,17.87,4.09,83.0,0,nublado,1.0,0.0,0.6558333333333334,0.4206857142857143,0.17000000000000004,6.112695238095238,1.0,6.1,Bom,#27ae60
2026-06-03,0,0.0,75.0,15.975999999999999,3.832,96.4,0,nublado,1.0,0.5,0.49799999999999994,0.3941485714285714,0.03599999999999992,6.373222857142857,1.0,6.4,Bom,#27ae60
2026-06-04,0,0.0,79.4,15.602,3.982,73.4,0,nublado,1.0,0.35333333333333317,0.4668333333333334,0.40957714285714286,0.2659999999999999,6.34403238095238,1.0,6.3,Bom,#27ae60
2026-06-05,0,0.0,65.0,17.36,3.5720000000000005,59.2,0,nublado,1.0,0.8333333333333334,0.6133333333333333,0.36740571428571434,0.4079999999999999,7.435775238095238,1.0,7.4,Bom,#27ae60
2026-06-06,0,0.0,70.4,16.68,2.066,39.4,0,nublado,1.0,0.6533333333333331,0.5566666666666666,0.21250285714285713,0.6060000000000001,7.018087619047618,1.0,7.0,Bom,#27ae60
2026-06-07,0,0.0,61.75,16.427500000000002,0.7675000000000001,2.5,0,céu limpo,1.0,0.9416666666666667,0.5356250000000001,0.1,0.975,7.608750000000001,1.0,7.6,Bom,#27ae60
